FROM,TO,DAY,DAYS,TYPE,Title_gsheets,NOTES,COLOR_CATEGORY,Date,Title_wiki,Year,Game Wiki Link,Source Links,mc_title,mc_slug,mc_releaseDate,mc_criticScore,mc_rating,mc_platforms
2026-03-26 00:00:00,2026-04-02 00:00:00,Thursday,7,,Hyper Echelon,,FFD0E0E3,,,,,,Hyper Echelon,hyper-echelon,2021-11-11,,,"PC, Nintendo Switch, PlayStation 4"
2026-03-19 00:00:00,2026-03-26 00:00:00,Thursday,7,mobile,Potion Permit,,FFF4CCCC,,,,,,Potion Permit,potion-permit,2022-09-22,74.0,E,"Nintendo Switch, Xbox One, PlayStation 4, PC, PlayStation 5, Xbox Series X, iOS (iPhone/iPad)"
2026-03-19 00:00:00,2026-03-26 00:00:00,Thursday,7,,Electrician Simulator,,FFD0E0E3,19-26 March 2026,Electrician Simulator,2026.0,https://ru.wikipedia.org/w/index.php?title=Electrician_Simulator&action=edit&redlink=1,https://vgtimes.ru/gaming-news/151051-epic-games-store.html,Electrician Simulator,electrician-simulator,2022-09-21,60.0,,"PC, Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X"
2026-03-19 00:00:00,2026-03-26 00:00:00,Thursday,7,pack,World of Warships — Epic Anniversary Tachibana Pack,,FFD0E0E3,,,,,,World of Warships,world-of-warships,2015-09-17,81.0,T,PC
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,mobile,Wonder Boy: The Dragon's Trap,,FFF4CCCC,14-21 July 2022,Wonder Boy: The Dragon's Trap,2022.0,https://ru.wikipedia.org/w/index.php?title=Wonder_Boy:_The_Dragon%E2%80%99s_Trap&action=edit&redlink=1,https://3dnews.ru/1070209/egs-zapustil-razdachu-platformera-wonder-boy-the-dragons-trap-i-bogatogo-nabora-dlya-strategii-idle-champions-of-the-forgotten-realms,Wonder Boy: The Dragon's Trap,wonder-boy-the-dragons-trap,2017-04-18,79.0,E10+,"PlayStation 4, PC, Xbox One, Wii U, Nintendo Switch, iOS (iPhone/iPad), PlayStation 5"
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,,Cozy Grove,,FFD0E0E3,12-19 March 2026,Cozy Grove,2026.0,https://ru.wikipedia.org/w/index.php?title=Cozy_Grove&action=edit&redlink=1,https://www.igromania.ru/news/164801/v-epic-games-store-stali-besplatno-otdavat-istoricheskij-shuter-isonzo-i-uyutnuyu-cozy-grove/,Cozy Grove,cozy-grove,2021-04-08,71.0,E10+,"Nintendo Switch, PC, PlayStation 4, Xbox One, iOS (iPhone/iPad), PlayStation 5, Nintendo Switch 2"
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,,Isonzo,,FFD0E0E3,,,,,,Isonzo,isonzo,2022-09-13,67.0,M,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One"
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,mobile,Little Nightmares,,FFF4CCCC,,,,,,Little Nightmares,little-nightmares,2017-04-28,78.0,T,"PlayStation 4, Xbox One, PC, iOS (iPhone/iPad)"
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,pack3,Idle Champions of the Forgotten Realms - Raistlin's Renown Pack,"In-game content, log into game to get",FFF4CCCC,,,,,,Idle Champions of the Forgotten Realms,idle-champions-of-the-forgotten-realms,2018-05-15,0.0,,"iOS (iPhone/iPad), PC, PlayStation 4, Xbox One, Nintendo Switch"
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,pack2,Idle Champions of the Forgotten Realms - Dragonlance Pack,"In-game content, log into game to get",FFD0E0E3,,,,,,Idle Champions of the Forgotten Realms,idle-champions-of-the-forgotten-realms,2018-05-15,0.0,,"iOS (iPhone/iPad), PC, PlayStation 4, Xbox One, Nintendo Switch"
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,,Turnip Boy Robs a Bank,,FFD0E0E3,,,,,,Turnip Boy Robs a Bank,turnip-boy-robs-a-bank,2024-01-18,82.0,,"PC, Xbox One, Nintendo Switch, iOS (iPhone/iPad)"
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,mobile,Boxes: Lost Fragments,,FFF4CCCC,,,,,,Boxes: Lost Fragments,boxes-lost-fragments,2024-02-01,84.0,,"PC, iOS (iPhone/iPad), Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5"
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,,Boxes: Lost Fragments,,FFD0E0E3,,,,,,Boxes: Lost Fragments,boxes-lost-fragments,2024-02-01,84.0,,"PC, iOS (iPhone/iPad), Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5"
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,,My Night Job,,FFD0E0E3,26 February - 5 March 2026,My Night Job,2026.0,https://ru.wikipedia.org/w/index.php?title=My_Night_Job&action=edit&redlink=1,https://dtf.ru/games/4810295-razdacha-igr-epic-games-store-boxes-lost-fragments-my-night-job,My Night Job,my-night-job,2016-05-17,60.0,T,"PlayStation 4, PC, Nintendo Switch"
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,mobile,Residual,,FFF4CCCC,,,,,,Residual,residual,2021-09-09,68.0,E,"Nintendo Switch, PC, PlayStation 5, Xbox Series X, PlayStation 4, Xbox One"
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,,Return to Ash,,FFD0E0E3,19-26 February 2026,Return To Ash,2026.0,https://ru.wikipedia.org/w/index.php?title=Return_To_Ash&action=edit&redlink=1,https://www.igromania.ru/news/163679/v-epic-games-store-stali-besplatno-otdavat-novellu-return-to-ash-i-podarki-v-stalcraft-x/,Return to Ash,return-to-ash,2025-07-10,0.0,,PC
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,,STALCRAFT: X Edition Starter,,FFD0E0E3,,,,,,Xenoblade Chronicles X: Definitive Edition,xenoblade-chronicles-x-definitive-edition,2025-03-20,87.0,T,"Nintendo Switch, Nintendo Switch 2"
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,mobile,The Darkside Detective: A Fumble in the Dark,,FFF4CCCC,,,,,,The Darkside Detective: A Fumble in the Dark,the-darkside-detective-a-fumble-in-the-dark,2021-04-15,84.0,,"PC, Nintendo Switch, PlayStation 5, Xbox One, PlayStation 4, iOS (iPhone/iPad)"
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,,Nobody Wants to Die,,FFD0E0E3,,,,,,Nobody Wants to Die,nobody-wants-to-die,2024-07-17,75.0,,"PC, PlayStation 5, Xbox Series X"
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,,The Darkside Detective: A Fumble in the Dark,,FFD0E0E3,,,,,,The Darkside Detective: A Fumble in the Dark,the-darkside-detective-a-fumble-in-the-dark,2021-04-15,84.0,,"PC, Nintendo Switch, PlayStation 5, Xbox One, PlayStation 4, iOS (iPhone/iPad)"
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,mobile,Botany Manor,,FFF4CCCC,5-12 February 2026,Botany Manor,2026.0,https://ru.wikipedia.org/w/index.php?title=Botany_Manor&action=edit&redlink=1,https://vgtimes.ru/news/146875-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-botany-manor-i-dlc-dlya-pixel-gun-3d.html,Botany Manor,botany-manor,2024-04-09,82.0,,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5"
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,,Botany Manor,,FFD0E0E3,5-12 February 2026,Botany Manor,2026.0,https://ru.wikipedia.org/w/index.php?title=Botany_Manor&action=edit&redlink=1,https://vgtimes.ru/news/146875-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-botany-manor-i-dlc-dlya-pixel-gun-3d.html,Botany Manor,botany-manor,2024-04-09,82.0,,"PC, Nintendo Switch, Xbox Series X, Xbox One, PlayStation 4, PlayStation 5"
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,,Poison Retro Set,Requires base game (free): Pixel Gun 3D,FFD0E0E3,,,,,,Maliki : Poison Of The Past,maliki-poison-of-the-past,2025-04-22,75.0,,"PC, Nintendo Switch"
2026-01-29 00:00:00,2026-02-05 00:00:00,Thursday,7,mobile,Faily Brakes 2,,FFF4CCCC,,,,,,Faily Brakes 2 Flatout,faily-brakes-2-flatout,2019-12-22,,,iOS (iPhone/iPad)
2026-01-29 00:00:00,2026-02-05 00:00:00,Thursday,7,,Definitely Not Fried Chicken,,FFD0E0E3,29 January - 5 February 2026,Definitely Not Fried Chicken,2026.0,https://ru.wikipedia.org/w/index.php?title=Definitely_Not_Fried_Chicken&action=edit&redlink=1,https://www.igromania.ru/news/162451/v-egs-stali-besplatno-otdavat-definitely-not-fried-chicken-simulyator-zapretnogo-biznesa/,Definitely Not Fried Chicken,definitely-not-fried-chicken,2023-09-29,,,PC
2026-01-22 00:00:00,2026-01-29 00:00:00,Thursday,7,mobile,The Forest Quartet,,FFF4CCCC,,,,,,The Forest Quartet,the-forest-quartet,2022-12-08,71.0,E,"PlayStation 5, PC, PlayStation 4, Nintendo Switch"
2026-01-22 00:00:00,2026-01-29 00:00:00,Thursday,7,,Rustler (Grand Theft Horse),,FFD0E0E3,,,,,,Grand Theft Auto V,grand-theft-auto-v,2014-11-18,97.0,M,"PlayStation 4, PlayStation 3, Xbox 360, Xbox One, PC, PlayStation 5, Xbox Series X"
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,mobile,Dumb Ways to Die,,FFF4CCCC,,,,,,Dumb Ways to Die,dumb-ways-to-die,2013-05-07,70.0,,iOS (iPhone/iPad)
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,,Styx: Master of Shadows,,FFD0E0E3,15-22 January 2026,Styx: Master of Shadows,2026.0,https://ru.wikipedia.org/wiki/Styx:_Master_of_Shadows,https://www.igromania.ru/news/161694/v-epic-games-store-stali-besplatno-otdavat-styx-master-of-shadows-i-shards-of-darkness/,Styx: Master of Shadows,styx-master-of-shadows,2014-10-07,71.0,M,"PC, PlayStation 4, Xbox One"
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,,Styx: Shards of Darkness,,FFD0E0E3,,,,,,Styx: Shards of Darkness,styx-shards-of-darkness,2017-03-14,72.0,M,"PC, PlayStation 4, Xbox One"
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,mobile,Bouncemasters,,FFF4CCCC,,,,,,Bouncemasters,bouncemasters-2025,2025-09-29,,,PC
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,15 December 2022,Bloons TD 6,2022.0,https://ru.wikipedia.org/w/index.php?title=Bloons_TD_6&action=edit&redlink=1,https://www.igromania.ru/news/121625/V_EGS_startovala_zimnyaya_rasprodazha_i_besplatnaya_razdacha_Bloons_TD_6.html,Bloons TD 6,bloons-td-6,2018-06-14,0.0,,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4"
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,3-10 August 2023,Bloons TD 6,2023.0,https://ru.wikipedia.org/w/index.php?title=Bloons_TD_6&action=edit&redlink=1,https://dtf.ru/sale/2006555-v-epic-games-store-startovala-razdacha-roglayta-loop-hero-ot-rossiyskih-razrabotchikov,Bloons TD 6,bloons-td-6,2018-06-14,0.0,,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4"
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,8-15 January 2026,Bloons TD 6,2026.0,https://ru.wikipedia.org/w/index.php?title=Bloons_TD_6&action=edit&redlink=1,https://vgtimes.ru/news/143856-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-bloons-td-6.html,Bloons TD 6,bloons-td-6,2018-06-14,0.0,,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4"
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,mobile,Skul: The Hero Slayer,,FFF4CCCC,,,,,,Skul: The Hero Slayer,skul-the-hero-slayer,2021-01-21,80.0,T,"PC, Xbox One, Nintendo Switch, PlayStation 4, iOS (iPhone/iPad)"
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,,Total War: THREE KINGDOMS,,FFB6D7A8,1-8 January 2026,Total War: Three Kingdoms,2026.0,https://ru.wikipedia.org/wiki/Total_War:_Three_Kingdoms,https://ixbt.games/news/2026/01/01/v-egs-nacalas-razdaca-kosmiceskogo-tarkova-i-globalnoi-strategii-total-war-three-kingdoms.html,Total War: Three Kingdoms,total-war-three-kingdoms,2019-05-23,85.0,T,PC
2026-01-01 00:00:00,2026-01-08 00:00:00,Thursday,7,,Wildgate: Standard Edition,,FFB6D7A8,,,,,,Wildgate,wildgate,2025-07-22,72.0,,"PC, PlayStation 5, Xbox Series X"
2025-12-31 00:00:00,2026-01-01 00:00:00,Wednesday,1,dupe,Chivalry 2,,FFB6D7A8,30 May - 6 June 2024,Chivalry 2,2024.0,https://ru.wikipedia.org/wiki/Chivalry_2,https://3dnews.ru/1105690/v-epic-games-store-startovala-razdacha-chivalry-2-razrabotchiki-ustroili-nedelyu-dvojnogo-opyta-igra-dostupna-v-rossii,Chivalry 2,chivalry-2,2021-06-08,82.0,M,"PC, PlayStation 4, Xbox One, Xbox Series X, PlayStation 5"
2025-12-31 00:00:00,2026-01-01 00:00:00,Wednesday,1,dupe,Chivalry 2,,FFB6D7A8,31 December 2025,Chivalry 2,2025.0,https://ru.wikipedia.org/wiki/Chivalry_2,https://dtf.ru/games/4578650-chivalry-2-besplatnaya-razdacha-v-epic-games-store,Chivalry 2,chivalry-2,2021-06-08,82.0,M,"PC, PlayStation 4, Xbox One, Xbox Series X, PlayStation 5"
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine Classic Collection,Trine (Enchanted Edition),FFB6D7A8,30 December 2025,Trine Classic Collection,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,Marvel vs. Capcom Fighting Collection: Arcade Classics,marvel-vs-capcom-fighting-collection-arcade,2024-09-12,87.0,,"PlayStation 4, Nintendo Switch, PC, Xbox One"
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 2: Complete Story,Trine 2: Complete Story,FFB6D7A8,,,,,,Trine 2: Complete Story,trine-2-complete-story,2013-11-15,84.0,E10+,"PlayStation 4, PC, Nintendo Switch"
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 3: The Artifacts of Power,Trine 3: The Artifacts of Power,FFB6D7A8,30 December 2025,Trine 3: The Artifacts of Power,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,Trine 3: The Artifacts of Power,trine-3-the-artifacts-of-power,2015-08-20,68.0,,"PC, PlayStation 4, Nintendo Switch"
2025-12-30 00:00:00,2025-12-31 00:00:00,Tuesday,1,,Trine 4: The Nightmare Prince,Trine 4: The Nightmare Prince,FFB6D7A8,30 December 2025,Trine 4: The Nightmare Prince,2025.0,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store,Trine 4: The Nightmare Prince,trine-4-the-nightmare-prince,2019-10-08,80.0,E10+,"PlayStation 4, Nintendo Switch, PC, Xbox One"
2025-12-29 00:00:00,2025-12-30 00:00:00,Monday,1,,Viewfinder,,FFB6D7A8,29 December 2025,Viewfinder,2025.0,https://ru.wikipedia.org/w/index.php?title=Viewfinder_(%D0%B8%D0%B3%D1%80%D0%B0)&action=edit&redlink=1,https://3dnews.ru/1134624/ne-prosto-igra-a-peregivanie-epic-games-store-ustroil-razdachu-perspektivnoy-golovolomki-o-preobragenii-realnosti-viewfinder,Viewfinder,viewfinder,2023-07-18,84.0,,"PC, PlayStation 5, PlayStation 4, Xbox Series X, Nintendo Switch"
2025-12-28 00:00:00,2025-12-29 00:00:00,Sunday,1,,SKALD: Against the Black Priory,,FFB6D7A8,28 December 2025,Skald: Against the Black Priory,2025.0,https://ru.wikipedia.org/w/index.php?title=Skald:_Against_the_Black_Priory&action=edit&redlink=1,https://dtf.ru/games/4568773-razdacha-rpg-skald-against-the-black-priory-v-egs,SKALD: Against the Black Priory,skald-against-the-black-priory,2025-11-04,76.0,,PC
2025-12-27 00:00:00,2025-12-28 00:00:00,Saturday,1,,Cassette Beasts,,FFB6D7A8,27 December 2025,Cassette Beasts,2025.0,https://ru.wikipedia.org/w/index.php?title=Cassette_Beasts&action=edit&redlink=1,https://dtf.ru/games/4564819-razdacha-cassette-beasts-v-epic-games-store,Cassette Beasts,cassette-beasts,2023-04-26,83.0,,"PC, Nintendo Switch, Xbox One, Xbox Series X, iOS (iPhone/iPad)"
2025-12-26 00:00:00,2025-12-27 00:00:00,Friday,1,,We Were Here Together,,FFB6D7A8,26 December 2025,We Were Here Together,2025.0,https://ru.wikipedia.org/wiki/We_Were_Here_Together,https://www.goha.ru/v-egs-razdayut-kooperativnoe-priklyuchenie-we-were-here-together-l5ZWkN,,,,,,
2025-12-25 00:00:00,2026-01-01 00:00:00,Thursday,7,dupe3,Monument Valley,,FFF4CCCC,4-11 September 2025,Monument Valley,2025.0,https://ru.wikipedia.org/wiki/Monument_Valley_(%D0%B8%D0%B3%D1%80%D0%B0),https://dtf.ru/games/4006477-razdacha-monument-valley-epic-games-store,Monument Valley,monument-valley,2014-04-03,89.0,,"iOS (iPhone/iPad), Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4, PC"
2025-12-25 00:00:00,2026-01-01 00:00:00,Thursday,7,dupe3,Monument Valley 2,,FFF4CCCC,,,,,,Monument Valley 2,monument-valley-2,2017-05-30,83.0,,"iOS (iPhone/iPad), Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4, PC"
2025-12-25 00:00:00,2025-12-26 00:00:00,Thursday,1,,Disco Elysium: The Final Cut,,FFB6D7A8,,,,,,Disco Elysium: The Final Cut,disco-elysium-the-final-cut,2021-03-30,89.0,M,"PlayStation 5, PC, PlayStation 4, iOS (iPhone/iPad), Xbox Series X, Nintendo Switch, Xbox One"
2025-12-24 00:00:00,2025-12-25 00:00:00,Wednesday,1,dupe,The Callisto Protocol,,FFB6D7A8,22-29 August 2024,The Callisto Protocol,2024.0,https://ru.wikipedia.org/wiki/The_Callisto_Protocol,https://www.igromania.ru/news/141810/v-epic-games-store-stali-besplatno-otdavat-horror-the-callisto-protocol-i-otdadut-fallout/,The Callisto Protocol,the-callisto-protocol,2022-12-02,69.0,M,"PlayStation 5, PC, Xbox Series X, PlayStation 4, Xbox One"
2025-12-24 00:00:00,2025-12-25 00:00:00,Wednesday,1,dupe,The Callisto Protocol,,FFB6D7A8,24 December 2025,The Callisto Protocol,2025.0,https://ru.wikipedia.org/wiki/The_Callisto_Protocol,https://www.igromania.ru/news/161017/the-callisto-protocol-besplatno-razdayut-v-epic-games-store/,The Callisto Protocol,the-callisto-protocol,2022-12-02,69.0,M,"PlayStation 5, PC, Xbox Series X, PlayStation 4, Xbox One"
2025-12-23 00:00:00,2025-12-24 00:00:00,Tuesday,1,,Bloodstained: Ritual of the Night,,FFB6D7A8,23 December 2025,Bloodstained: Ritual of the Night,2025.0,https://ru.wikipedia.org/wiki/Bloodstained:_Ritual_of_the_Night,https://dtf.ru/games/4552967-razdacha-bloodstained-ritual-of-the-night-v-egs,Bloodstained: Ritual of the Night,bloodstained-ritual-of-the-night,2019-06-18,83.0,T,"PlayStation 4, PC, Xbox One, Wii U, PlayStation Vita, Nintendo Switch, iOS (iPhone/iPad)"
2025-12-22 00:00:00,2026-01-05 00:00:00,Monday,14,pack,Train Sim World® 6: Spirit of Steam: Liverpool Lime Street - Crewe,Requires base game (payable): Train Sim World® 6,FFD0E0E3,,,,,,Train Sim World 6,train-sim-world-6,2025-09-30,76.0,E,"PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series X"
2025-12-22 00:00:00,2025-12-23 00:00:00,Monday,1,,Paradise Killer,,FFB6D7A8,22 December 2025,Paradise Killer,2025.0,https://ru.wikipedia.org/wiki/Paradise_Killer,https://dtf.ru/games/4550838-razdacha-igry-paradise-killer-v-egs-dlya-rossii,Paradise Killer,paradise-killer,2020-09-04,81.0,,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4"
2025-12-21 00:00:00,2025-12-22 00:00:00,Sunday,1,,Sorry We're Closed,,FFB6D7A8,21 December 2025,Sorry We're Closed,2025.0,https://ru.wikipedia.org/w/index.php?title=Sorry_We%E2%80%99re_Closed&action=edit&redlink=1,https://vgtimes.ru/news/142182-v-egs-nachalas-pyataya-prazdnichnaya-razdacha.-daryat-horror-sorry-were-closed.html,Sorry We're Closed,sorry-were-closed,2024-11-14,83.0,,"PC, Nintendo Switch, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4"
2025-12-20 00:00:00,2025-12-21 00:00:00,Saturday,1,,Blood West,,FFB6D7A8,20 December 2025,Blood West,2025.0,https://ru.wikipedia.org/w/index.php?title=Blood_West&action=edit&redlink=1,https://dtf.ru/games/4546685-razdacha-stealth-shutera-blood-west-v-egs,Blood West,blood-west,2023-12-05,80.0,M,"PC, Xbox Series X, PlayStation 5, Nintendo Switch 2"
2025-12-19 00:00:00,2025-12-20 00:00:00,Friday,1,,Eternights,,FFB6D7A8,19 December 2025,Eternights,2025.0,https://ru.wikipedia.org/w/index.php?title=Eternights&action=edit&redlink=1,https://www.igromania.ru/news/160810/eshken-simulyator-svidanij-eternights-stali-besplatno-otdavat-v-epic-games-store/,Eternights,eternights,2023-09-12,68.0,M,"PlayStation 5, PlayStation 4, PC, Nintendo Switch, iOS (iPhone/iPad)"
2025-12-18 00:00:00,2025-12-25 00:00:00,Thursday,7,mobile,Shotgun King: The Final Checkmate,,FFF4CCCC,,,,,,Shotgun King: The Final Checkmate,shotgun-king-the-final-checkmate,2023-08-24,75.0,E10+,"PlayStation 5, PC, PlayStation 4, Xbox Series X, Xbox One, Nintendo Switch"
2025-12-18 00:00:00,2025-12-19 00:00:00,Thursday,1,,Jotunnslayer: Hordes of Hel,,FFB6D7A8,18 December 2025,Jotunnslayer: Hordes of Hel,2025.0,https://ru.wikipedia.org/wiki/Jotunnslayer:_Hordes_of_Hel,https://dtf.ru/games/4542089-razdacha-jotunnslayer-hordes-of-hel-v-egs,Jotunnslayer: Hordes of Hel,jotunnslayer-hordes-of-hel,2025-09-03,79.0,,"PC, Xbox Series X, PlayStation 5"
2025-12-12 00:00:00,2025-12-18 00:00:00,Friday,6,,Hogwarts Legacy,,FFB6D7A8,11-18 December 2025,Hogwarts Legacy,2025.0,https://ru.wikipedia.org/wiki/Hogwarts_Legacy,https://dtf.ru/sale/4528415-razdacha-hogwarts-legacy-v-egs,Hogwarts Legacy,hogwarts-legacy,2023-02-07,84.0,T,"PlayStation 5, Xbox Series X, PC, PlayStation 4, Xbox One, Nintendo Switch, Nintendo Switch 2"
2025-12-11 00:00:00,2025-12-18 00:00:00,Thursday,7,mobile,Dead Cells,,FFF4CCCC,,,,,,Dead Cells,dead-cells,2018-08-07,89.0,T,"Nintendo Switch, PC, PlayStation 4, Xbox One, iOS (iPhone/iPad)"
2025-12-04 00:00:00,2025-12-11 00:00:00,Thursday,7,mobile,The Darkside Detective,,FFF4CCCC,4-11 December 2025,The Darkside Detective,2025.0,https://ru.wikipedia.org/w/index.php?title=The_Darkside_Detective&action=edit&redlink=1,https://kanobu.ru/news/v-egs-startovala-razdacha-besplatnyih-the-darkside-detective-i-the-jackbox-party-pack-4-509583/,The Darkside Detective,the-darkside-detective,2017-07-27,77.0,,"PC, Nintendo Switch, PlayStation 4, Xbox One, PlayStation 5, iOS (iPhone/iPad)"
